Tag Scope,Tag Value,Tag Description,VM Name,VM ID
,ANZ-VDI,,,
admin,AVITENANT_UUID,,,
all,vRNI,,,
cloud-da489e41-9cf1-4d54-b65e-d9902ca81823,AVICLOUD_UUID,,,
cluster-c483a1f6-efff-4461-ab26-cfc450f5ae1a,AVICLUSTER_UUID,,,
externalServiceIP,ALB_VIP,,,
nsxcloud,AVIOBJECT_PREFIX,,,
security,high,,AVIC02DNS2GSLB-se-pziqk,503ead5c-c614-85b6-905f-7ed7b26aab48
security,high,,AVIC02SEDNS-se-hxgkw,503e3da8-3ecb-76bb-b203-5f7e05073fba
OS,Steve Windows888,,Kali,503e0c93-840c-1a9e-f6b3-57a78210a55b
security,high888,,Kali,503e0c93-840c-1a9e-f6b3-57a78210a55b
security,high999,,Kali,503e0c93-840c-1a9e-f6b3-57a78210a55b
security,high777,,Kali,503e0c93-840c-1a9e-f6b3-57a78210a55b
security,high,,apitier-mcm1080-263702920492,503ebb46-296a-af1c-782d-88abacc65cab
security,high,,apitier-mcm1088-263702961094,503e99c1-b518-8c00-c388-2a029f200139
security,high,,aria-auto01,503e6153-17fb-60e6-3105-64def646331f
security,high,,aria-lcm01,503e51b9-2e30-8d95-b046-ba433b1df300
security,high,,aria-ops-cloudproxy,503e25b4-241f-7608-4158-34d0a8b22c0b
security,high,,aria-ops01,503eacc1-009f-45d1-a011-c27859403d69
security,high,,aria-vidm01,503e8585-0ad2-6e6a-d2aa-5815ae500807
security,high,,avic01-tkgs,503e62cd-ad29-990e-01f7-13d0ce38d819
security,high,,avic02-ocp,503ea34e-6ec7-608e-34b8-31db65c10506
security,high,,db-mcm1079-263702915208,503e68bc-dd3c-c27c-7d67-8bb64d29f565
security,high,,db-mcm1089-263702977578,503e0ea7-c3e0-8805-a6ea-79c9fe131273
security,high,,edge01,503e5a8d-e3b1-7ed4-4cc4-935079c140aa
security,high,,edge02,503e6dec-db9d-5db9-7678-3e0cd4836fc8
security,high,,frontend-mcm1081-263702925010,503e7e2f-d0e8-8e6a-fd09-77472837cd49
security,high,,frontend-mcm1082-263702925010,503e6b3b-4fd6-6520-d47c-6f499a283e84
security,high,,frontend-mcm1087-263702945767,503e9b04-debe-403b-0406-dbaf20727846
security,high,,nsxm,503e7ce9-e500-f2ce-b879-afc695720321
security,high,,ocp01-tvn2p-master-0,503e9727-6bc8-8034-398a-7d9c751a4895
security,high,,ocp01-tvn2p-master-1,503ea2e3-7412-33dc-c0d4-359eb352d8cf
security,high,,ocp01-tvn2p-master-2,503ed3f2-bda3-89b8-f0d7-839ca8a42d0e
security,high,,ocp01-tvn2p-worker-rblzr,3dd9945a-b205-4d43-9f35-71a0cb5b6939
security,high,,ocp02-lvv48-master-0,503ef69c-48e0-a7d5-0dd7-974bd5e935cd
security,high,,ocp02-lvv48-master-1,503e50c2-2e91-5f6f-7ffe-66feaf801c95
security,high,,ocp02-lvv48-master-2,503e7fa0-c267-fff6-a701-a08707d44ae4
security,high,,ocp02-lvv48-worker-zr5xc,ed57578a-8001-4afd-8a16-97c70197c3d4
security,high,,ocp03-p2bcr-master-0,503e2448-fa84-6d23-b623-188385567c46
security,high,,ocp03-p2bcr-master-1,503ef8cc-34f1-65b8-a25a-955e04114ef1
security,high,,ocp03-p2bcr-master-2,503e4798-1fdc-7674-d4e8-dcda1bb1fe09
security,high,,ocp03-p2bcr-worker-vrt74,1a12741f-a391-407c-a915-df7209714c09
security,high,,router01,50081c89-d0d5-b35c-361e-0d9196986893
security,high,,ryan-Attack-VM,503e8c61-9e6c-7a02-9f06-8e93a89485cc
security,high,,ryan-ocp-bootstrap,503e066d-566d-b2db-b491-c3910d4ce113
security,high,,template-yVM,503e7085-1bf9-fea7-883a-72eaed7dc360
,,,trafficgen01,503ee723-144a-373a-0e2e-9db8a43f179d
security,high,,trafficgen02,503e5e7d-57b9-2376-55ea-e47bea009ce9
security,high,,ubuntu-jumphost01,503e6aac-943d-645b-5704-f8fea4cec251
security,high,,ubuntu-jumphost02,503e8ea4-d5f5-f667-b703-03bc3aa6a2c6
security,high,,vCLS-4c4c4544-0039-4410-804a-b7c04f4e4432,5260d492-4935-e35f-39f5-ce115fc86cb5
security,high,,vCLS-4c4c4544-0039-4710-8048-b7c04f4e4432,5280a68d-c926-fb68-717f-c1a7944ea616
environment,production,,vca01,5213407d-f004-cd6d-7aca-de3204360b7f
,,,vrli01,503e4ae2-d5eb-50da-ffd2-1d73673b6f77
,,,vrni01-collector,503e4f9c-e14e-3637-f10e-655bc12356fc
,,,vrni01-platform,503ee244-e2af-afe0-0252-6d7704255534
,,,vyos-vcf,503ef490-a385-8b4e-5682-10dfa16c42de
,,,win2022-sandertesting,503ebd5b-8f5e-117b-a26f-50472844c076
OS,Steve Windows,,windows-jumphost02,503eeedf-4fae-1697-787b-ec5dc854e8c3
PRD,Shared_Services,,winsrv01.vcnlab01.eng.vmware.com,523258be-135b-ee46-d812-119f81d43ad4
USECASE,TESTING666,,ryan-Victim-VM,503e3b28-9f7a-49f2-a4eb-0f86acd7c80b
